file,category,evidence,targets,targets_in_production,sha256
scripts/fix-rls-policies.sql,C,correctif historique remplace par la baseline courante,public.tracks,public.tracks,42892e745425a9132a5a4ecbcb7906148ce1046bf4a56b85bdf1e1cbfb52e68a
scripts/fix_ai_generations_schema.sql,C,correctif historique remplace par la baseline courante,public.ai_generations,public.ai_generations,dad83532de4ef5a88e55b28ed9948d77edd456a3f2fee4743b6c699a52e39cbe
scripts/fix_ai_generations_structure.sql,C,correctif historique remplace par la baseline courante,public.ai_generations,public.ai_generations,815360477de00ea5dfdf3b8f4f77c4ae9e96abc8f5197786f216170897debaf6
scripts/fix_ai_tables.sql,C,correctif historique remplace par la baseline courante,public.ai_generations | public.ai_tracks | public.user_quotas | public.ai_playlists | public.ai_playlist_tracks | public.ai_usage_stats,public.ai_generations | public.ai_tracks | public.user_quotas | public.ai_playlists | public.ai_playlist_tracks | public.ai_usage_stats,b11c676a7925ed5dec41265f6e1de6bb654106badf58dae6279565399b67d647
scripts/meteo-v3-migration.sql,B,"tous les objets cibles existent en production, execution historique non tracee",public.meteo_bulletins | public.meteo_team_members | public.meteo_comments | public.meteo_reactions | public.meteo_alerts | public.meteo_settings,public.meteo_bulletins | public.meteo_team_members | public.meteo_comments | public.meteo_reactions | public.meteo_alerts | public.meteo_settings,1c97411ea399c25698a4d405939299e98db74e4f1a8cdec735c36947e4d1a90d
scripts/notifications-schema.sql,F,policies/grants Supabase legacy non suivis par une migration canonique,public.notifications | public.notification_preferences | public.admin_broadcasts | public.push_subscriptions,public.notifications | public.notification_preferences | public.admin_broadcasts | public.push_subscriptions,709d68c643193f422259ef1d6b885295aa8ade2cd72305892379983d755852ec
scripts/recommendation-impressions-schema.sql,B,"tous les objets cibles existent en production, execution historique non tracee",public.recommendation_impressions,public.recommendation_impressions,a37b2143099c8cc2a3834b454fe3d28ede265ae2db8c1b5a2dfe36cb6e4135e3
scripts/secure_music_challenges_rls.sql,F,policies/grants Supabase legacy non suivis par une migration canonique,,,74e2e5e90dc4421c4fbecbe15e1ea9231208df9013597a74ae68a2232f94fd0a
scripts/secure_music_clips_and_posts_rls.sql,F,policies/grants Supabase legacy non suivis par une migration canonique,,,45860efb75d6b628f037739aa90d3e034285688a60046189e54fff81ecc62347
scripts/setup-message-requests.sql,F,policies/grants Supabase legacy non suivis par une migration canonique,public.message_requests,public.message_requests,388568ec8305a71365e6bbe874fbae0362b18ce1d17f1feb0c4c99210d9b368e
scripts/setup-messaging-tables.sql,F,policies/grants Supabase legacy non suivis par une migration canonique,public.conversations | public.conversation_participants | public.messages | public.message_reads | public.update_conversation_last_message | public.create_direct_conversation,public.conversations | public.conversation_participants | public.messages,b2ef3af6525d56ae5346dfdfac37980353cf03c77fccd70292d80df7e9cdebe9
scripts/setup-playlists-tables.sql,F,policies/grants Supabase legacy non suivis par une migration canonique,public.playlists | public.playlist_tracks | public.update_playlist_updated_at,public.playlists | public.playlist_tracks,8320eea7d917fa7652d85c57387d0c3b6972dfdfbb7f55a05d9405b10503d850
scripts/supabase-schema.sql,F,bootstrap ou convention Supabase legacy hors historique canonique,public.profiles | public.tracks | public.playlists | public.playlist_tracks | public.comments | public.comment_reactions | public.conversations | public.conversation_participants | public.messages | public.track_likes | public.subscriptions | public.payments | public.user_follows | public.follow_requests | public.notifications | public.play_stats | public.update_updated_at_column | public.get_user_stats | public.search_tracks,public.profiles | public.tracks | public.playlists | public.playlist_tracks | public.comments | public.comment_reactions | public.conversations | public.conversation_participants | public.messages | public.track_likes | public.subscriptions | public.payments | public.user_follows | public.follow_requests | public.notifications | public.play_stats | public.update_updated_at_column | public.get_user_stats | public.search_tracks,27c353d2692357216733daa8e50bdadf91a3cf971188f066f1aee1f395fac633
supabase/likes_views.sql,F,bootstrap ou convention Supabase legacy hors historique canonique,public.track_likes | public.track_views | public.track_stats | public._ensure_track_stats | public.trg_track_likes_after_insert | public.trg_track_likes_after_delete | public.trg_track_views_after_insert,public.track_likes | public.track_views | public.track_stats | public._ensure_track_stats | public.trg_track_likes_after_insert | public.trg_track_likes_after_delete | public.trg_track_views_after_insert,9fb8d3c60fe711b1a73c91a975f3e0fccba4109e59a1017d106cea5c9aa67507
supabase/migrations/20260714200149_harden_notifications.sql,A,version 20260714200149 presente dans supabase_migrations.schema_migrations,public.push_subscriptions,public.push_subscriptions,8e35a1c6f047973ada3aeb0d6aee96e1ae4b1489eb312554d65887cd24b60756
supabase/migrations/20260714200425_dedupe_notification_push_policy.sql,A,version 20260714200425 presente dans supabase_migrations.schema_migrations,,,9cc3c25bc003892adc830376d6c756df50e9838335733e1a7c163fefbd709ba3
supabase/migrations/20260714201329_restrict_notification_push_policies.sql,A,version 20260714201329 presente dans supabase_migrations.schema_migrations,,,86bf28f1a27a70ef12a5636b0ee4997ff2a6b42d08b8f8ceee8f86cca7de54b9
supabase/migrations/20260715231651_discovery_signal_indexes.sql,A,version 20260715231651 presente dans supabase_migrations.schema_migrations,,,ab1703562adb90ec9a12cf511677835c54cda34be12e60770ca821e16df1c659
supabase/migrations/20260715234022_recommendation_clip_impressions.sql,A,version 20260715234022 presente dans supabase_migrations.schema_migrations,public.recommendation_impressions,public.recommendation_impressions,2a3fb3113c178a97c6c371f3e14c3ae98e851d0a416f6798d6e766512dfa936b
supabase/migrations/20260716102210_persist_city_votes_and_winners.sql,A,version 20260716102210 presente dans supabase_migrations.schema_migrations,public.city_events | public.city_event_tracks | public.city_event_votes | public.city_event_participations | public.city_event_winners | public.city_user_rewards | public.set_city_updated_at,public.city_events | public.city_event_tracks | public.city_event_votes | public.city_event_participations | public.city_event_winners | public.city_user_rewards | public.set_city_updated_at,e9640126fe3939a72c19ea2db31f4a2ebd5c8315ea6c3e84836cb13a07c9fef4
supabase/migrations/20260716102751_index_city_creator_ownership.sql,A,version 20260716102751 presente dans supabase_migrations.schema_migrations,,,9e245e5493fd250794c87f02fc5261cbde969a3d3e78cfdb41130db2b61736b9
supabase/migrations/20260716104653_guard_city_winners_with_real_votes.sql,A,version 20260716104653 presente dans supabase_migrations.schema_migrations,public.require_city_battle_winner_vote,public.require_city_battle_winner_vote,f798dd9b4a2ae79067de6548ac9969affe40a62d30febd71d036880f849889d4
supabase/migrations/20260719101500_complete_social_messaging.sql,A,version 20260719101500 presente dans supabase_migrations.schema_migrations,public.conversations | public.conversation_participants | public.messages | public.message_requests | public.friendships | public.user_blocks | public.message_reactions | public.synaura_touch_conversation,public.conversations | public.conversation_participants | public.messages | public.message_requests | public.friendships | public.user_blocks | public.message_reactions | public.synaura_touch_conversation,fb3673637445e5f8633de72ca78549d4c043a44113d5fe083ec5518c04ed11c4
supabase/migrations/20260719183000_messaging_experience.sql,A,version 20260719183000 presente dans supabase_migrations.schema_migrations,public.conversations | public.conversation_participants | public.conversation_rooms | public.messages,public.conversations | public.conversation_participants | public.conversation_rooms | public.messages,4b3e6a085ba6f1a7b4191496f07946674fa81006ba19e9eeb1c55593527e0b21
supabase/migrations/20260722131445_messaging_v2_foundations.sql,A,version 20260722131445 presente dans supabase_migrations.schema_migrations,public.messages | public.conversation_participants | public.message_reactions | public.message_attachments | public.message_pins | public.message_hidden_users | public.conversation_realtime_events | public.conversations | public.synaura_is_conversation_member | public.synaura_sync_message_relation | public.synaura_cleanup_realtime_events | public.conversation_rooms,public.messages | public.conversation_participants | public.message_reactions | public.message_attachments | public.message_pins | public.message_hidden_users | public.conversation_realtime_events | public.conversations | public.synaura_sync_message_relation | public.synaura_cleanup_realtime_events | public.conversation_rooms,5db5194637d750aba6fef242527e3613b6bb6565cfcbce955b75e78c7cb8e44b
supabase/migrations/20260722134844_messaging_inbox_realtime.sql,A,version 20260722134844 presente dans supabase_migrations.schema_migrations,public.message_requests | public.friendships | public.user_blocks,public.message_requests | public.friendships | public.user_blocks,43f7a867b826498f6df2204df9ac676719bd76dfc93c706a0f06f946b4397043
supabase/migrations/20260722141544_messaging_v2_security_hardening.sql,A,version 20260722141544 presente dans supabase_migrations.schema_migrations,synaura_private.is_conversation_member,synaura_private.is_conversation_member,4d670fca843787b24f4fa0c5659e795f05bd2e8fbeafafbb1fb1f5fb6ee73be6
supabase/migrations/20260722142537_optimize_messaging_realtime_rls.sql,A,version 20260722142537 presente dans supabase_migrations.schema_migrations,,,3742ecde506fc930c44c501930d54259f887ec7b070edaf2476bcade36a47474
supabase/migrations/20260722151940_complete_daily_rewards_and_editorial_collections.sql,A,version 20260722151940 presente dans supabase_migrations.schema_migrations,public.user_daily_spin | public.user_daily_spin_history | public.editorial_collections | public.touch_editorial_collections_updated_at,public.user_daily_spin | public.user_daily_spin_history | public.editorial_collections | public.touch_editorial_collections_updated_at,bba17e5eea49f290e35cd2badb52fdd50231739bb1e1cdcdb7c77480c960b6f7
supabase/push_subscriptions.sql,F,bootstrap ou convention Supabase legacy hors historique canonique,public.push_subscriptions,public.push_subscriptions,3895b350c16f465a86e2536d219b80901af04d7d7856fb9bb316840e65caaf32
supabase/star_academy.sql,F,bootstrap ou convention Supabase legacy hors historique canonique,public.star_academy_applications | public.update_sa_updated_at | public.star_academy_config,public.star_academy_applications | public.update_sa_updated_at | public.star_academy_config,07cb9520453c12b6e0207c675a9033c5d45aa2385a92f21768afdca360790b31
supabase/star_academy_staff.sql,F,bootstrap ou convention Supabase legacy hors historique canonique,public.star_academy_staff_applications | public.update_sa_staff_updated_at,public.star_academy_staff_applications | public.update_sa_staff_updated_at,401af2d0c6746bb1066b112cba09d75a48cdf36b1d98345e72fe0a01629a5895
