schema_name,relation_name,relation_kind,owner,persistence,rls_enabled,rls_forced,relation_options,estimated_rows,total_bytes,acl
public,conversation_participants_id_seq,sequence,postgres,p,f,f,,1,,"{postgres=rwU/postgres,anon=rwU/postgres,authenticated=rwU/postgres,service_role=rwU/postgres,synaura_app=rwU/postgres}"
public,creator_comment_filters_id_seq,sequence,postgres,p,f,f,,1,,"{postgres=rwU/postgres,anon=rwU/postgres,authenticated=rwU/postgres,service_role=rwU/postgres,synaura_app=rwU/postgres}"
public,follow_requests_id_seq,sequence,postgres,p,f,f,,1,,"{postgres=rwU/postgres,anon=rwU/postgres,authenticated=rwU/postgres,service_role=rwU/postgres,synaura_app=rwU/postgres}"
public,notifications_id_seq,sequence,postgres,p,f,f,,1,,"{postgres=rwU/postgres,anon=rwU/postgres,authenticated=rwU/postgres,service_role=rwU/postgres,synaura_app=rwU/postgres}"
public,play_stats_id_seq,sequence,postgres,p,f,f,,1,,"{postgres=rwU/postgres,anon=rwU/postgres,authenticated=rwU/postgres,service_role=rwU/postgres,synaura_app=rwU/postgres}"
public,playlist_tracks_id_seq,sequence,postgres,p,f,f,,1,,"{postgres=rwU/postgres,anon=rwU/postgres,authenticated=rwU/postgres,service_role=rwU/postgres,synaura_app=rwU/postgres}"
public,track_likes_id_seq,sequence,postgres,p,f,f,,1,,"{postgres=rwU/postgres,anon=rwU/postgres,authenticated=rwU/postgres,service_role=rwU/postgres,synaura_app=rwU/postgres}"
public,user_follows_id_seq,sequence,postgres,p,f,f,,1,,"{postgres=rwU/postgres,anon=rwU/postgres,authenticated=rwU/postgres,service_role=rwU/postgres,synaura_app=rwU/postgres}"
public,account_private,table,postgres,p,t,f,,32,49152,"{postgres=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,active_artist_boosts,table,postgres,p,f,f,,8,65536,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,active_track_boosts,table,postgres,p,f,f,,36,65536,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,admin_broadcasts,table,postgres,p,t,f,,3,32768,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,ai_credit_balances,table,postgres,p,t,f,,32,24576,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,ai_generations,table,postgres,p,t,f,,121,409600,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,ai_playlist_tracks,table,postgres,p,t,f,,-1,16384,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,ai_playlists,table,postgres,p,t,f,,-1,32768,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,ai_track_likes,table,postgres,p,t,f,,11,73728,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,ai_tracks,table,postgres,p,t,f,,215,1220608,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,ai_usage_stats,table,postgres,p,t,f,,55,40960,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,boosters,table,postgres,p,f,f,,7,49152,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,challenge_entries,table,postgres,p,t,f,,-1,49152,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,city_event_participations,table,postgres,p,t,f,,2,81920,"{postgres=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,city_event_tracks,table,postgres,p,t,f,,490,417792,"{postgres=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,city_event_votes,table,postgres,p,t,f,,6,81920,"{postgres=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,city_event_winners,table,postgres,p,t,f,,3,81920,"{postgres=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,city_events,table,postgres,p,t,f,,156,204800,"{postgres=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,city_user_rewards,table,postgres,p,t,f,,3,65536,"{postgres=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,comment_likes,table,postgres,p,t,f,,-1,49152,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,comment_moderation,table,postgres,p,f,f,,3,65536,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,comment_reactions,table,postgres,p,f,f,,-1,24576,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,comments,table,postgres,p,t,f,,14,147456,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,conversation_participants,table,postgres,p,t,f,,7,81920,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,conversation_realtime_events,table,postgres,p,t,f,,4,65536,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,conversation_rooms,table,postgres,p,t,f,,2,81920,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,conversations,table,postgres,p,t,f,,3,65536,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,creator_comment_filters,table,postgres,p,f,f,,-1,32768,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,creator_posts,table,postgres,p,t,f,,12,81920,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,credit_ledger,table,postgres,p,t,f,,92,98304,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,editorial_collections,table,postgres,p,t,f,,-1,49152,"{postgres=arwdDxtm/postgres,service_role=arwdDxtm/postgres,anon=r/postgres,authenticated=r/postgres,synaura_app=arwd/postgres}"
public,faq_items,table,postgres,p,f,f,,108,122880,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,faq_votes,table,postgres,p,f,f,,-1,16384,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,follow_requests,table,postgres,p,f,f,,-1,24576,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,forum_post_likes,table,postgres,p,f,f,,2,40960,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,forum_posts,table,postgres,p,f,f,,10,81920,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,forum_replies,table,postgres,p,f,f,,8,65536,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,forum_reply_likes,table,postgres,p,f,f,,-1,16384,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,friendships,table,postgres,p,t,f,,2,90112,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,message_attachments,table,postgres,p,t,f,,-1,40960,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,message_hidden_users,table,postgres,p,t,f,,-1,24576,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,message_pins,table,postgres,p,t,f,,-1,40960,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,message_reactions,table,postgres,p,t,f,,2,98304,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,message_requests,table,postgres,p,t,f,,2,122880,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,messages,table,postgres,p,t,f,,24,131072,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,meteo_alerts,table,postgres,p,f,f,,-1,32768,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,meteo_bulletins,table,postgres,p,t,f,,7,106496,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,meteo_comments,table,postgres,p,f,f,,-1,40960,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,meteo_reactions,table,postgres,p,f,f,,1,81920,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,meteo_settings,table,postgres,p,f,f,,2,49152,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,meteo_team_members,table,postgres,p,f,f,,2,81920,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,meteo_views,table,postgres,p,f,f,,2857,671744,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,missions,table,postgres,p,f,f,,8,49152,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,music_challenges,table,postgres,p,t,f,,3,65536,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,music_clips,table,postgres,p,t,f,,5,81920,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,notification_preferences,table,postgres,p,t,f,,4,40960,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,notifications,table,postgres,p,t,f,,198,172032,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,password_resets,table,postgres,p,f,f,,21,81920,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,payments,table,postgres,p,f,f,,-1,24576,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,play_stats,table,postgres,p,f,f,,-1,16384,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,playlist_tracks,table,postgres,p,f,f,,132,98304,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,playlists,table,postgres,p,t,f,,7,32768,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,post_comments,table,postgres,p,t,f,,3,49152,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,post_likes,table,postgres,p,t,f,,16,73728,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,profiles,table,postgres,p,t,f,,32,311296,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,push_subscriptions,table,postgres,p,t,f,,15,81920,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,recommendation_impressions,table,postgres,p,t,f,,3919,1826816,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,referrals,table,postgres,p,t,f,,-1,32768,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,star_academy_applications,table,postgres,p,t,f,,12,114688,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,star_academy_config,table,postgres,p,t,f,,3,32768,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,star_academy_staff_applications,table,postgres,p,t,f,,3,131072,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,subscriptions,table,postgres,p,t,f,,5,49152,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,support_tickets,table,postgres,p,t,f,,-1,16384,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,synaura_tv_settings,table,postgres,p,t,f,,1,32768,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,track_events,table,postgres,p,f,f,,44690,22659072,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,track_likes,table,postgres,p,t,f,,75,98304,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,track_moment_reactions,table,postgres,p,t,f,,10,65536,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,track_remixes,table,postgres,p,t,f,,-1,57344,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,track_stats,table,postgres,p,t,f,,224,90112,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,track_views,table,postgres,p,t,f,,4464,2793472,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,track_waveforms,table,postgres,p,t,f,,160,573440,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,tracks,table,postgres,p,t,f,,232,458752,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
public,user_blocks,table,postgres,p,t,f,,-1,24576,"{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres,synaura_app=arwd/postgres}"
