schema_name,routine_name,identity_arguments,routine_kind,result_type,language,volatility,security_definer,leakproof,strict,runtime_config,owner,acl
extensions,encrypt_iv,"bytea, bytea, bytea, text",function,bytea,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,gen_random_bytes,integer,function,bytea,c,v,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,gen_random_uuid,,function,uuid,c,v,f,f,f,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,gen_salt,text,function,text,c,v,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,gen_salt,"text, integer",function,text,c,v,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,grant_pg_cron_access,,function,event_trigger,plpgsql,v,f,f,f,,supabase_admin,"{=X/supabase_admin,supabase_admin=X*/supabase_admin,dashboard_user=X/supabase_admin}"
extensions,grant_pg_graphql_access,,function,event_trigger,plpgsql,v,f,f,f,,supabase_admin,"{=X/supabase_admin,supabase_admin=X/supabase_admin,postgres=X*/supabase_admin}"
extensions,grant_pg_net_access,,function,event_trigger,plpgsql,v,f,f,f,,supabase_admin,"{=X/supabase_admin,supabase_admin=X*/supabase_admin,dashboard_user=X/supabase_admin}"
extensions,hmac,"bytea, bytea, text",function,bytea,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,hmac,"text, text, text",function,bytea,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pg_stat_statements,"showtext boolean, OUT userid oid, OUT dbid oid, OUT toplevel boolean, OUT queryid bigint, OUT query text, OUT plans bigint, OUT total_plan_time double precision, OUT min_plan_time double precision, OUT max_plan_time double precision, OUT mean_plan_time double precision, OUT stddev_plan_time double precision, OUT calls bigint, OUT total_exec_time double precision, OUT min_exec_time double precision, OUT max_exec_time double precision, OUT mean_exec_time double precision, OUT stddev_exec_time double precision, OUT rows bigint, OUT shared_blks_hit bigint, OUT shared_blks_read bigint, OUT shared_blks_dirtied bigint, OUT shared_blks_written bigint, OUT local_blks_hit bigint, OUT local_blks_read bigint, OUT local_blks_dirtied bigint, OUT local_blks_written bigint, OUT temp_blks_read bigint, OUT temp_blks_written bigint, OUT shared_blk_read_time double precision, OUT shared_blk_write_time double precision, OUT local_blk_read_time double precision, OUT local_blk_write_time double precision, OUT temp_blk_read_time double precision, OUT temp_blk_write_time double precision, OUT wal_records bigint, OUT wal_fpi bigint, OUT wal_bytes numeric, OUT jit_functions bigint, OUT jit_generation_time double precision, OUT jit_inlining_count bigint, OUT jit_inlining_time double precision, OUT jit_optimization_count bigint, OUT jit_optimization_time double precision, OUT jit_emission_count bigint, OUT jit_emission_time double precision, OUT jit_deform_count bigint, OUT jit_deform_time double precision, OUT stats_since timestamp with time zone, OUT minmax_stats_since timestamp with time zone",function,SETOF record,c,v,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pg_stat_statements_info,"OUT dealloc bigint, OUT stats_reset timestamp with time zone",function,record,c,v,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pg_stat_statements_reset,"userid oid, dbid oid, queryid bigint, minmax_only boolean",function,timestamp with time zone,c,v,f,f,t,,postgres,"{postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pgp_armor_headers,"text, OUT key text, OUT value text",function,SETOF record,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pgp_key_id,bytea,function,text,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pgp_pub_decrypt,"bytea, bytea",function,text,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pgp_pub_decrypt,"bytea, bytea, text",function,text,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pgp_pub_decrypt,"bytea, bytea, text, text",function,text,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pgp_pub_decrypt_bytea,"bytea, bytea",function,bytea,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pgp_pub_decrypt_bytea,"bytea, bytea, text",function,bytea,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pgp_pub_decrypt_bytea,"bytea, bytea, text, text",function,bytea,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pgp_pub_encrypt,"text, bytea",function,bytea,c,v,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pgp_pub_encrypt,"text, bytea, text",function,bytea,c,v,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pgp_pub_encrypt_bytea,"bytea, bytea",function,bytea,c,v,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pgp_pub_encrypt_bytea,"bytea, bytea, text",function,bytea,c,v,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pgp_sym_decrypt,"bytea, text",function,text,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pgp_sym_decrypt,"bytea, text, text",function,text,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pgp_sym_decrypt_bytea,"bytea, text",function,bytea,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pgp_sym_decrypt_bytea,"bytea, text, text",function,bytea,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pgp_sym_encrypt,"text, text",function,bytea,c,v,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pgp_sym_encrypt,"text, text, text",function,bytea,c,v,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pgp_sym_encrypt_bytea,"bytea, text",function,bytea,c,v,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pgp_sym_encrypt_bytea,"bytea, text, text",function,bytea,c,v,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,pgrst_ddl_watch,,function,event_trigger,plpgsql,v,f,f,f,,supabase_admin,"{=X/supabase_admin,supabase_admin=X/supabase_admin,postgres=X*/supabase_admin}"
extensions,pgrst_drop_watch,,function,event_trigger,plpgsql,v,f,f,f,,supabase_admin,"{=X/supabase_admin,supabase_admin=X/supabase_admin,postgres=X*/supabase_admin}"
extensions,set_graphql_placeholder,,function,event_trigger,plpgsql,v,f,f,f,,supabase_admin,"{=X/supabase_admin,supabase_admin=X/supabase_admin,postgres=X*/supabase_admin}"
extensions,uuid_generate_v1,,function,uuid,c,v,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,uuid_generate_v1mc,,function,uuid,c,v,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,uuid_generate_v3,"namespace uuid, name text",function,uuid,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,uuid_generate_v4,,function,uuid,c,v,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,uuid_generate_v5,"namespace uuid, name text",function,uuid,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,uuid_nil,,function,uuid,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,uuid_ns_dns,,function,uuid,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,uuid_ns_oid,,function,uuid,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,uuid_ns_url,,function,uuid,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
extensions,uuid_ns_x500,,function,uuid,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X*/postgres,dashboard_user=X/postgres}"
graphql_public,graphql,"""operationName"" text, query text, variables jsonb, extensions jsonb",function,jsonb,plpgsql,v,f,f,f,,supabase_admin,"{=X/supabase_admin,supabase_admin=X/supabase_admin,postgres=X/supabase_admin,anon=X/supabase_admin,authenticated=X/supabase_admin,service_role=X/supabase_admin}"
pgbouncer,get_auth,p_usename text,function,"TABLE(username text, password text)",plpgsql,v,t,f,f,"{""search_path=\""\""""}",supabase_admin,"{supabase_admin=X/supabase_admin,pgbouncer=X/supabase_admin}"
public,_ensure_track_stats,p_track_id text,function,void,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,ai_add_credits,"p_user_id uuid, p_amount integer",function,void,plpgsql,v,t,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,ai_add_credits,"p_user_id uuid, p_amount integer, p_source text, p_description text",function,void,plpgsql,v,t,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,ai_debit_credits,"p_user_id uuid, p_amount integer",function,boolean,plpgsql,v,t,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,ai_debit_credits,"p_user_id uuid, p_amount integer, p_source text, p_description text",function,boolean,plpgsql,v,t,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,ai_grant_monthly_plan_credits,,function,void,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,ai_grant_welcome_credits,,function,trigger,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,auto_generate_referral_code,,function,trigger,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,check_user_quota,user_uuid uuid,function,boolean,plpgsql,v,t,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,get_active_members_count,,function,integer,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,get_monthly_generations_count,user_uuid uuid,function,integer,plpgsql,v,t,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,get_user_ai_stats,user_uuid uuid,function,json,plpgsql,v,t,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,get_user_quota_remaining,user_uuid uuid,function,integer,plpgsql,v,t,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,get_user_stats,user_uuid uuid,function,"TABLE(total_tracks bigint, total_playlists bigint, total_followers bigint, total_following bigint, total_likes bigint, total_plays bigint)",plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,gin_extract_query_trgm,"text, internal, smallint, internal, internal, internal, internal",function,internal,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,gin_extract_value_trgm,"text, internal",function,internal,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,gin_trgm_consistent,"internal, smallint, text, integer, internal, internal, internal, internal",function,boolean,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,gin_trgm_triconsistent,"internal, smallint, text, integer, internal, internal, internal",function,"""char""",c,i,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,gtrgm_compress,internal,function,internal,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,gtrgm_consistent,"internal, text, smallint, oid, internal",function,boolean,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,gtrgm_decompress,internal,function,internal,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,gtrgm_distance,"internal, text, smallint, oid, internal",function,double precision,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,gtrgm_in,cstring,function,gtrgm,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,gtrgm_options,internal,function,void,c,i,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,gtrgm_out,gtrgm,function,cstring,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,gtrgm_penalty,"internal, internal, internal",function,internal,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,gtrgm_picksplit,"internal, internal",function,internal,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,gtrgm_same,"gtrgm, gtrgm, internal",function,internal,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,gtrgm_union,"internal, internal",function,gtrgm,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,increment_ai_usage,user_uuid uuid,function,boolean,plpgsql,v,t,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,move_profile_email_to_private,,function,trigger,plpgsql,v,t,f,f,"{""search_path=\""\""""}",postgres,"{postgres=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,record_track_view,"p_track_id text, p_user_id uuid, p_ip_address inet, p_user_agent text",function,json,plpgsql,v,t,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,require_city_battle_winner_vote,,function,trigger,plpgsql,v,f,f,f,{search_path=public},postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,search_tracks,search_query text,function,"TABLE(id text, title text, description text, audio_url text, cover_url text, duration integer, genre text[], creator_id uuid, plays integer, likes integer, creator_name text, creator_username text, similarity real)",plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,set_city_updated_at,,function,trigger,plpgsql,v,f,f,f,"{""search_path=\""\""""}",postgres,"{postgres=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,set_limit,real,function,real,c,v,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,set_updated_at,,function,trigger,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,show_limit,,function,real,c,s,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,show_trgm,text,function,text[],c,i,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,similarity,"text, text",function,real,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,similarity_dist,"text, text",function,real,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,similarity_op,"text, text",function,boolean,c,s,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,strict_word_similarity,"text, text",function,real,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,strict_word_similarity_commutator_op,"text, text",function,boolean,c,s,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,strict_word_similarity_dist_commutator_op,"text, text",function,real,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,strict_word_similarity_dist_op,"text, text",function,real,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,strict_word_similarity_op,"text, text",function,boolean,c,s,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,synaura_cleanup_realtime_events,,function,trigger,plpgsql,v,t,f,f,"{""search_path=\""\""""}",postgres,"{postgres=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,synaura_sync_message_relation,,function,trigger,plpgsql,v,t,f,f,"{""search_path=\""\""""}",postgres,"{postgres=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,synaura_touch_conversation,,function,trigger,plpgsql,v,t,f,f,{search_path=public},postgres,"{postgres=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,toggle_track_like,"p_track_id text, p_user_id uuid",function,json,plpgsql,v,t,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,touch_account_private_updated_at,,function,trigger,plpgsql,v,f,f,f,"{""search_path=\""\""""}",postgres,"{postgres=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,touch_editorial_collections_updated_at,,function,trigger,plpgsql,v,f,f,f,"{""search_path=\""\""""}",postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,touch_music_clips_updated_at,,function,trigger,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,trg_track_likes_after_delete,,function,trigger,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,trg_track_likes_after_insert,,function,trigger,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,trg_track_views_after_insert,,function,trigger,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,trigger_update_follow_counts,,function,trigger,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,update_ai_usage_stats,,function,trigger,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,update_comment_likes_count,,function,trigger,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,update_follow_counts,user_id uuid,function,void,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,update_forum_post_likes_count,,function,trigger,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,update_forum_post_replies_count,,function,trigger,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,update_forum_reply_likes_count,,function,trigger,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,update_meteo_bulletins_updated_at,,function,trigger,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,update_music_challenges_updated_at,,function,trigger,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,update_sa_staff_updated_at,,function,trigger,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,update_sa_updated_at,,function,trigger,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,update_track_likes_count,,function,trigger,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,update_track_views_count,,function,trigger,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,update_updated_at_column,,function,trigger,plpgsql,v,f,f,f,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,validate_account_private_birth_date,,function,trigger,plpgsql,v,f,f,f,"{""search_path=\""\""""}",postgres,"{postgres=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,word_similarity,"text, text",function,real,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,word_similarity_commutator_op,"text, text",function,boolean,c,s,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,word_similarity_dist_commutator_op,"text, text",function,real,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,word_similarity_dist_op,"text, text",function,real,c,i,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
public,word_similarity_op,"text, text",function,boolean,c,s,f,f,t,,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres,synaura_app=X/postgres}"
