schema_name,type_name,type_kind,owner,base_type,not_null,default_expression,enum_values,acl
public,ai_generations,composite,postgres,-,f,,,
public,ai_playlist_tracks,composite,postgres,-,f,,,
public,ai_playlists,composite,postgres,-,f,,,
public,ai_track_likes,composite,postgres,-,f,,,
public,ai_tracks,composite,postgres,-,f,,,
public,ai_usage_stats,composite,postgres,-,f,,,
public,boosters,composite,postgres,-,f,,,
public,challenge_entries,composite,postgres,-,f,,,
public,city_event_participations,composite,postgres,-,f,,,
public,city_event_tracks,composite,postgres,-,f,,,
public,city_event_votes,composite,postgres,-,f,,,
public,city_event_winners,composite,postgres,-,f,,,
public,city_events,composite,postgres,-,f,,,
public,city_user_rewards,composite,postgres,-,f,,,
public,comment_likes,composite,postgres,-,f,,,
public,comment_moderation,composite,postgres,-,f,,,
public,comment_reactions,composite,postgres,-,f,,,
public,comments,composite,postgres,-,f,,,
public,conversation_participants,composite,postgres,-,f,,,
public,conversation_realtime_events,composite,postgres,-,f,,,
public,conversation_rooms,composite,postgres,-,f,,,
public,conversations,composite,postgres,-,f,,,
public,creator_comment_filters,composite,postgres,-,f,,,
public,creator_posts,composite,postgres,-,f,,,
public,credit_ledger,composite,postgres,-,f,,,
public,editorial_collections,composite,postgres,-,f,,,
public,faq_items,composite,postgres,-,f,,,
public,faq_votes,composite,postgres,-,f,,,
public,follow_requests,composite,postgres,-,f,,,
public,forum_post_likes,composite,postgres,-,f,,,
public,forum_posts,composite,postgres,-,f,,,
public,forum_replies,composite,postgres,-,f,,,
public,forum_reply_likes,composite,postgres,-,f,,,
public,friendships,composite,postgres,-,f,,,
public,message_attachments,composite,postgres,-,f,,,
public,message_hidden_users,composite,postgres,-,f,,,
public,message_pins,composite,postgres,-,f,,,
public,message_reactions,composite,postgres,-,f,,,
public,message_requests,composite,postgres,-,f,,,
public,messages,composite,postgres,-,f,,,
public,meteo_alerts,composite,postgres,-,f,,,
public,meteo_bulletins,composite,postgres,-,f,,,
public,meteo_comments,composite,postgres,-,f,,,
public,meteo_reactions,composite,postgres,-,f,,,
public,meteo_settings,composite,postgres,-,f,,,
public,meteo_team_members,composite,postgres,-,f,,,
public,meteo_views,composite,postgres,-,f,,,
public,missions,composite,postgres,-,f,,,
public,music_challenges,composite,postgres,-,f,,,
public,music_clips,composite,postgres,-,f,,,
public,notification_preferences,composite,postgres,-,f,,,
public,notifications,composite,postgres,-,f,,,
public,password_resets,composite,postgres,-,f,,,
public,payments,composite,postgres,-,f,,,
public,play_stats,composite,postgres,-,f,,,
public,playlist_tracks,composite,postgres,-,f,,,
public,playlists,composite,postgres,-,f,,,
public,post_comments,composite,postgres,-,f,,,
public,post_likes,composite,postgres,-,f,,,
public,profiles,composite,postgres,-,f,,,
public,push_subscriptions,composite,postgres,-,f,,,
public,recommendation_impressions,composite,postgres,-,f,,,
public,referrals,composite,postgres,-,f,,,
public,star_academy_applications,composite,postgres,-,f,,,
public,star_academy_config,composite,postgres,-,f,,,
public,star_academy_staff_applications,composite,postgres,-,f,,,
public,subscriptions,composite,postgres,-,f,,,
public,support_tickets,composite,postgres,-,f,,,
public,synaura_tv_settings,composite,postgres,-,f,,,
public,track_event_type,enum,postgres,-,f,,view | play_start | play_progress | play_complete | like | unlike | share | favorite | unfavorite | skip | next | prev | add_to_playlist,
public,track_events,composite,postgres,-,f,,,
public,track_likes,composite,postgres,-,f,,,
public,track_moment_reactions,composite,postgres,-,f,,,
public,track_remixes,composite,postgres,-,f,,,
public,track_stats,composite,postgres,-,f,,,
public,track_stats_daily,composite,postgres,-,f,,,
public,track_stats_rolling_30d,composite,postgres,-,f,,,
public,track_traffic_sources_30d,composite,postgres,-,f,,,
public,track_views,composite,postgres,-,f,,,
public,track_waveforms,composite,postgres,-,f,,,
public,tracks,composite,postgres,-,f,,,
public,user_blocks,composite,postgres,-,f,,,
public,user_booster_daily,composite,postgres,-,f,,,
public,user_booster_open_history,composite,postgres,-,f,,,
public,user_booster_pack_claims,composite,postgres,-,f,,,
public,user_booster_pity,composite,postgres,-,f,,,
public,user_boosters,composite,postgres,-,f,,,
public,user_daily_spin,composite,postgres,-,f,,,
public,user_daily_spin_history,composite,postgres,-,f,,,
public,user_follows,composite,postgres,-,f,,,
public,user_missions,composite,postgres,-,f,,,
public,user_quotas,composite,postgres,-,f,,,
public,users,composite,postgres,-,f,,,
public,waiting_list,composite,postgres,-,f,,,
realtime,action,enum,supabase_realtime_admin,-,f,,INSERT | UPDATE | DELETE | TRUNCATE | ERROR,
realtime,equality_op,enum,supabase_realtime_admin,-,f,,eq | neq | lt | lte | gt | gte | in | like | ilike | is | match | imatch | isdistinct,
realtime,messages,composite,supabase_realtime_admin,-,f,,,
