schema_name,table_name,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_live_tup,n_dead_tup,last_analyze,last_autoanalyze
public,profiles,2683,81642,1,1,0,3,0,0,2,,
public,push_subscriptions,6,90,1,1,0,1,0,0,1,,
public,recommendation_impressions,4,15996,36,315,11,0,0,11,0,,
public,referrals,4,0,0,0,0,0,0,0,0,,
public,star_academy_applications,4,48,0,0,0,0,0,0,0,,
public,star_academy_config,4,12,0,0,0,0,0,0,0,,
public,star_academy_staff_applications,4,12,0,0,0,0,0,0,0,,
public,subscriptions,4,20,0,0,0,0,0,0,0,,
public,support_tickets,4,0,0,0,0,0,0,0,0,,
public,synaura_tv_settings,4,4,0,0,0,0,0,0,0,,
public,track_events,4,183940,128,70602,39,0,0,39,0,,
public,track_likes,400,30000,0,0,0,0,0,0,0,,
public,track_moment_reactions,27,270,0,0,0,0,0,0,0,,
public,track_remixes,4,0,28,0,0,0,0,0,0,,
public,track_stats,26,5902,1,1,0,1,0,0,1,,
public,track_views,4,18536,1,0,1,0,0,1,0,,
public,track_waveforms,20,3200,0,0,0,0,0,0,0,,
public,tracks,380,88160,120,204,0,2,0,0,2,,
public,user_blocks,4,0,1,0,0,0,0,0,0,,
public,user_booster_daily,126,756,0,0,0,0,0,0,0,,
public,user_booster_open_history,4,420,0,0,0,0,0,0,0,,
public,user_booster_pack_claims,5,45,0,0,0,0,0,0,0,,
public,user_booster_pity,5,15,0,0,0,0,0,0,0,,
public,user_boosters,5,705,0,0,0,0,0,0,0,,
public,user_daily_spin,4,0,121,0,0,0,0,0,0,,
public,user_daily_spin_history,4,0,0,0,0,0,0,0,0,,
public,user_follows,78,2496,0,0,0,0,0,0,0,,
public,user_missions,4,152,0,0,0,0,0,0,0,,
public,user_quotas,4,8,0,0,0,0,0,0,0,,
public,users,5,20,0,0,0,0,0,0,0,,
public,waiting_list,4,0,0,0,0,0,0,0,0,,
realtime,messages,0,0,0,0,0,0,0,0,0,,
realtime,messages_2026_07_31,4,0,0,0,0,0,0,0,0,,
realtime,messages_2026_08_01,4,0,0,0,0,0,0,0,0,,
realtime,messages_2026_08_02,4,0,0,0,0,0,0,0,0,,
realtime,messages_2026_08_03,4,0,0,0,0,0,0,0,0,,
realtime,messages_2026_08_04,4,0,0,0,0,0,0,0,0,,
realtime,messages_2026_08_05,4,0,0,0,0,0,0,0,0,,
realtime,messages_2026_08_06,4,0,0,0,0,0,0,0,0,,
realtime,schema_migrations,4,324,0,0,0,0,0,0,0,,
realtime,subscription,4,0,0,0,0,0,0,0,0,,
storage,buckets,4,8,0,0,0,0,0,0,0,,
storage,buckets_analytics,4,0,0,0,0,0,0,0,0,,
storage,buckets_vectors,4,0,0,0,0,0,0,0,0,,
storage,migrations,4,244,0,0,0,0,0,0,0,,
storage,objects,4,316,0,0,0,0,0,0,0,,
storage,s3_multipart_uploads,4,0,0,0,0,0,0,0,0,,
storage,s3_multipart_uploads_parts,4,0,0,0,0,0,0,0,0,,
storage,vector_indexes,4,0,0,0,0,0,0,0,0,,
supabase_migrations,schema_migrations,8,128,0,0,0,0,0,0,0,,
