schema_name,table_name,constraint_name,constraint_type,definition,is_validated,is_deferrable,initially_deferred
public,ai_playlist_tracks,ai_playlist_tracks_playlist_id_fkey,foreign_key,FOREIGN KEY (playlist_id) REFERENCES ai_playlists(id) ON DELETE CASCADE,t,f,f
public,ai_playlist_tracks,ai_playlist_tracks_track_id_fkey,foreign_key,FOREIGN KEY (track_id) REFERENCES ai_tracks(id) ON DELETE CASCADE,t,f,f
public,ai_playlist_tracks,ai_playlist_tracks_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,ai_playlist_tracks,ai_playlist_tracks_playlist_id_track_id_key,unique,"UNIQUE (playlist_id, track_id)",t,f,f
public,ai_playlists,ai_playlists_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,t,f,f
public,ai_playlists,ai_playlists_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,ai_track_likes,ai_track_likes_track_id_fkey,foreign_key,FOREIGN KEY (track_id) REFERENCES ai_tracks(id) ON DELETE CASCADE,t,f,f
public,ai_track_likes,ai_track_likes_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,t,f,f
public,ai_track_likes,ai_track_likes_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,ai_track_likes,ai_track_likes_track_id_user_id_key,unique,"UNIQUE (track_id, user_id)",t,f,f
public,ai_tracks,ai_tracks_remix_visibility_check,check,"CHECK (remix_visibility = ANY (ARRAY['everyone'::text, 'followers'::text, 'disabled'::text]))",t,f,f
public,ai_tracks,ai_tracks_generation_id_fkey,foreign_key,FOREIGN KEY (generation_id) REFERENCES ai_generations(id) ON DELETE CASCADE,t,f,f
public,ai_tracks,ai_tracks_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,ai_usage_stats,ai_usage_stats_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,t,f,f
public,ai_usage_stats,ai_usage_stats_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,ai_usage_stats,ai_usage_stats_user_id_date_key,unique,"UNIQUE (user_id, date)",t,f,f
public,boosters,boosters_duration_hours_check,check,CHECK (duration_hours > 0),t,f,f
public,boosters,boosters_multiplier_check,check,CHECK (multiplier >= 1.0),t,f,f
public,boosters,boosters_rarity_check,check,"CHECK (rarity = ANY (ARRAY['common'::text, 'rare'::text, 'epic'::text, 'legendary'::text]))",t,f,f
public,boosters,boosters_type_check,check,"CHECK (type = ANY (ARRAY['track'::text, 'artist'::text]))",t,f,f
public,boosters,boosters_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,boosters,boosters_key_key,unique,UNIQUE (key),t,f,f
public,challenge_entries,challenge_entries_content_type_check,check,"CHECK (content_type = ANY (ARRAY['clip'::text, 'variation'::text, 'track'::text]))",t,f,f
public,challenge_entries,challenge_entries_challenge_id_fkey,foreign_key,FOREIGN KEY (challenge_id) REFERENCES music_challenges(id) ON DELETE CASCADE,t,f,f
